CustomerID,amount,frequency,recency,cluster_id
12346.0,0.0,2,325,0
12347.0,4309.999999999997,182,1,2
12348.0,1797.24,31,74,1
12349.0,1757.55,73,18,1
12350.0,334.40000000000003,17,309,0
12352.0,1545.4100000000005,95,35,1
12353.0,89.0,4,203,0
12354.0,1079.4,58,231,0
12355.0,459.4,13,213,0
12356.0,2811.4300000000007,59,22,1
12357.0,6207.669999999996,131,32,2
12358.0,1168.06,19,1,1
12359.0,6245.530000000006,254,7,2
12360.0,2662.0600000000004,129,51,1
12361.0,189.89999999999998,10,286,0
12362.0,5154.580000000002,274,2,2
12363.0,552.0,23,109,1
12364.0,1313.1000000000001,85,7,1
12365.0,320.69,23,290,0
12367.0,168.9,11,3,1
12370.0,3545.689999999998,167,50,2
12371.0,1887.9600000000003,63,44,1
12372.0,1298.0400000000002,52,71,1
12373.0,364.6,14,310,0
12374.0,742.93,33,24,1
12375.0,455.42000000000013,18,2,1
12377.0,1628.1199999999997,77,314,0
12378.0,4008.6200000000013,219,129,2
12379.0,850.2899999999996,41,81,1
12380.0,2720.56,105,21,1
12381.0,1803.9600000000005,91,4,1
12383.0,1839.3099999999997,100,184,0
12384.0,566.16,30,28,1
12386.0,401.90000000000003,10,337,0
12388.0,2780.6600000000003,100,15,1
12390.0,549.8399999999999,32,79,1
12391.0,460.88999999999993,100,21,1
12393.0,1582.6000000000004,64,71,1
12394.0,1272.48,27,63,1
12395.0,2998.279999999999,159,15,1
12397.0,2409.9000000000005,126,35,1
12398.0,1635.6599999999999,85,45,1
12399.0,1108.65,59,118,1
12401.0,84.3,5,302,0
12402.0,225.6,11,322,0
12403.0,409.7,6,49,1
12405.0,1710.3900000000006,54,148,1
12406.0,3280.7500000000014,108,21,1
12407.0,1708.1199999999997,77,49,1
12408.0,2842.57,113,32,1
12409.0,11056.930000000004,114,78,2
12410.0,681.0799999999999,28,300,0
12412.0,1226.8799999999999,61,74,1
12413.0,694.15,40,66,1
12414.0,562.41,18,216,0
12417.0,3578.8,198,2,2
12418.0,668.5799999999997,34,112,1
12420.0,600.3900000000001,29,63,1
12421.0,806.2700000000002,46,15,1
12422.0,803.5599999999998,39,95,1
12423.0,1849.1100000000001,126,0,1
12424.0,1760.9599999999998,30,162,0
12425.0,777.1999999999999,36,77,1
12426.0,582.7299999999999,30,194,0
12427.0,708.3700000000001,35,11,1
12428.0,7877.200000000004,300,25,2
12429.0,3750.400000000001,97,8,1
12430.0,256.4,11,42,1
12431.0,6416.389999999999,240,35,2
12432.0,5059.3200000000015,108,42,2
12433.0,13375.869999999992,420,0,2
12434.0,765.1899999999999,54,84,1
12435.0,7829.889999999998,36,79,2
12436.0,509.01000000000005,16,99,1
12437.0,4896.659999999998,201,1,2
12438.0,2906.8500000000004,98,13,1
